_pf_date,_pf_meeting_id,_pf_venue,_pf_state,_pf_surface,race_id,race_number,race_name,race_distance,race_class,race_prize,race_start_time,runner_id,horse,tab_no,barrier,weight,weight_total,handicap,age,sex,country,trainer_id,trainer,trainer_loc,jockey_id,jockey,jockey_claim,jockey_apprentice,price_sp,last10,win_pct,place_pct,career_starts,career_wins,prize_money_total,emergency,gear_changes,prep_runs,form_id,track_rec_starts,track_rec_firsts,track_rec_seconds,track_rec_thirds,dist_rec_starts,dist_rec_firsts,dist_rec_seconds,dist_rec_thirds,trackdist_rec_starts,trackdist_rec_firsts,trackdist_rec_seconds,trackdist_rec_thirds,good_rec_starts,good_rec_firsts,good_rec_seconds,good_rec_thirds,soft_rec_starts,soft_rec_firsts,soft_rec_seconds,soft_rec_thirds,heavy_rec_starts,heavy_rec_firsts,heavy_rec_seconds,heavy_rec_thirds,first_up_starts,first_up_firsts,first_up_seconds,first_up_thirds,second_up_starts,second_up_firsts,second_up_seconds,second_up_thirds,trainerA2E_Career_a2e,trainerA2E_Career_pot,trainerA2E_Career_sr,trainerA2E_Career_wins,trainerA2E_Career_runners,jockeyA2E_Career_a2e,jockeyA2E_Career_pot,jockeyA2E_Career_sr,jockeyA2E_Career_wins,jockeyA2E_Career_runners,trainerJockeyA2E_Career_a2e,trainerJockeyA2E_Career_pot,trainerJockeyA2E_Career_sr,trainerJockeyA2E_Career_wins,trainerJockeyA2E_Career_runners,trainerA2E_Last100_a2e,trainerA2E_Last100_pot,trainerA2E_Last100_sr,trainerA2E_Last100_wins,trainerA2E_Last100_runners,jockeyA2E_Last100_a2e,jockeyA2E_Last100_pot,jockeyA2E_Last100_sr,jockeyA2E_Last100_wins,jockeyA2E_Last100_runners,trainerJockeyA2E_Last100_a2e,trainerJockeyA2E_Last100_pot,trainerJockeyA2E_Last100_sr,trainerJockeyA2E_Last100_wins,trainerJockeyA2E_Last100_runners
2026-04-26,239035,Port Macquarie,NSW,,1338573,6,Mc Dirtworx (Bm58),1500,Benchmark 58;,27000,4/26/2026 4:00:00 PM,1106783,Monarch Express,1,3,59.5,61.5,59,4,Gelding,AUS,28937,Jordan Lee,Ballina,17004,Grady Spokes,2,True,10,40x25341955         ,12.5,31.25,16,2,44210,False,,0,9773315,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,8,0,1,0,1,0,0,0,3,0,1,0,3,0,1,0,1.013864664782173,-4.37867184479625,13.197969543147,26,197,0.8105700088678981,-33.725044688052016,10.90909090909,36,330,0,0,0,0,0,1.1084604401533562,0.3161381927744798,13,13,100,1.1432906860006349,3.1240664747547506,13,13,100,0,0,0,0,0
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,991777,Maggie Sparkles,8,3,58.5,58.5,57,4,Mare,AUS,4486,P J Kelly,Taree,1263,Jenny Duggan,0,False,6.5,980x5325341         ,10.53,31.58,19,2,58500,False,,0,9773337,4,0,0,1,2,0,0,1,2,0,0,1,6,0,1,2,8,1,0,1,5,1,0,0,4,1,0,0,2,0,0,1,1.5875129425458365,32.27311697679508,9.345794392523,10,107,1.0235096248658253,-12.58841410005886,7.31364275668,156,2133,0,0,0,0,0,1.4671680674423004,23.344870132706625,9,9,100,0.7959233997932619,-28.635665219557804,7,7,100,0,0,0,0,0
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,1110328,Look At Mego,14,1,55.5,55.5,51,4,Mare,AUS,23199,R Simonetta,Kempsey,6069,Jon Grisedale,0,False,101,827x41089x00        ,8.33,25,12,1,32960,False,,0,9773343,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,6,1,1,0,2,0,0,0,3,0,0,0,3,1,1,0,0.6400033936702137,-41.66239063776282,3.864734299516,8,207,0.8775549877745726,-19.64608425725351,7.071213640922,282,3988,0.9037607399642349,-18.122194964421592,6.25,2,32,0.3718187632592824,-71.03847113285671,2,2,100,0.680658458098868,-32.28715282702323,5,5,100,0.9037607399642349,-18.122194964421592,6.25,2,32
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,981450,Think I'm Irish,11,8,58,58,56,5,Mare,AUS,25376,D Wagstaff,Newcastle,8404,Peter Graham,0,False,16,4233716530          ,9.09,45.45,22,2,51597,False,,0,9773340,1,1,0,0,1,0,0,1,0,0,0,0,12,2,0,4,6,0,0,2,3,0,0,1,2,1,0,1,2,0,0,0,0.8711959251953358,-21.944480285825016,5.287009063444,35,662,0.8715841177136591,-21.133501775922284,7.588684328693,338,4454,0.5266792656102448,-48.059595651734426,3.571428571428,1,28,0.9883211544513372,-17.362742012036264,7,7,100,1.0708427966271583,-0.5381370294304305,8,8,100,0.5266792656102448,-48.059595651734426,3.571428571428,1,28
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,994280,Savvyrocker,4,9,62,62,64,4,Mare,AUS,9684,R N Godbolt,Port Macquarie,8989,Jeff Penza,0,False,3.3,1227356272          ,16,48,25,4,125820,False,,0,9773333,6,2,1,0,4,1,1,0,2,0,1,0,12,2,2,1,9,0,3,1,0,0,0,0,3,0,0,1,3,1,0,0,0.9036288176246745,-17.263112032440993,10.189287152637,253,2483,0.9387092173389191,-14.55873892554894,10.59284116331,947,8940,0.6044870976418635,-48.279985118157015,6.666666666666,2,30,0.9510554197562041,-12.552359922128108,12,12,100,0.7590559958120648,-25.614503884312928,6,6,100,0.6044870976418635,-48.279985118157015,6.666666666666,2,30
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,973012,Steely Girl,5,2,61,61,62,5,Mare,AUS,9684,R N Godbolt,Port Macquarie,12947,Luke Rolls,0,False,9.5,6539121474          ,16,36,25,4,77385,False,,0,9773334,3,2,0,0,3,0,1,0,0,0,0,0,15,3,1,2,8,1,0,1,2,0,1,0,6,0,1,1,4,1,0,0,0.9036288176246745,-17.263112032440993,10.189287152637,253,2483,0.972445937484459,-12.955054848851265,9.536527886881,607,6365,0.6009137469300315,-42.173840629338095,5.494505494505,5,91,0.9510554197562041,-12.552359922128108,12,12,100,0.6972382780494675,-30.37240174176105,9,9,100,0.6009137469300315,-42.173840629338095,5.494505494505,5,91
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,940136,Wilderness Star,13,5,56.5,56.5,53,7,Mare,AUS,13485,Ms A Lee,Port Macquarie,13770,Kacie Adams,0,False,12,0438684x924         ,6.98,25.58,86,6,192175,False,,0,9773342,15,1,2,2,15,1,1,2,3,0,0,0,40,3,2,5,31,1,5,1,15,2,2,1,5,0,0,0,5,0,1,0,0.6679471544445349,-40.011767590934554,1.996927803379,13,651,0.9333359732485914,-17.960088212932316,3.953229398663,71,1796,1.9077716372515376,63.06915255884681,5.714285714285,6,105,0.7648283232025214,-40.143139905098245,3,3,100,1.1324355951792973,3.3037993729677795,7,7,100,1.9497957305356424,66.27576194342711,6,6,100
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,1121652,Chisato,12,4,57,57,55,3,Filly,NZ,20173,K A Lees,Newcastle,15855,Jean Van Overmeire,0,False,3.6,4x7x10              ,20,20,5,1,17300,False,,0,9773341,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0.9835770616190362,-10.203222543434741,15.352269120913,1935,12604,1.0081101403241048,-8.46829174609754,10.837932764676,648,5979,1.0533383085833883,-10.091533714391343,14.285714285714,12,84,0.7959087329985576,-20.068999247061274,12,12,100,1.1785101495364145,9.210953913041271,14,14,100,1.0533383085833883,-10.091533714391343,14.285714285714,12,84
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,1125834,Cool Az Aletta,16,7,56.5,56.5,50,3,Gelding,AUS,2856,A P Ball,Taree,16616,Madeline Owen,0,False,15,591x553340          ,9.09,27.27,11,1,35300,True,Blinkers again. Cross-over nose band again. Visors off first time. ,0,9773345,5,0,0,1,4,0,0,1,4,0,0,1,3,0,0,1,7,0,0,1,1,1,0,0,2,0,0,0,2,0,0,0,0.9046947861511451,-21.31176646903148,7.248520710059,98,1352,0.9716874746428313,-12.897018071908116,6.869834710743,133,1936,1.2621735521913144,11.13752519728953,8.450704225352,6,71,0.680440309311177,-35.633126117169475,5,5,100,1.0039438696580372,-9.126397182331877,8,8,100,1.2621735521913144,11.13752519728953,8.450704225352,6,71
2026-04-26,239035,Port Macquarie,NSW,,1338574,7,RHE Chapman Mortgage Broker (Bm58),1200,Benchmark 58;,27000,4/26/2026 4:42:00 PM,972438,Discreet Lady,9,6,58,58,56,6,Mare,AUS,22880,Tom Higgins,Port Macquarie,17369,Shannen Llewellyn,0,True,9,142x573x8263        ,7.02,36.84,57,4,165075,False,,0,9773338,15,1,3,0,10,1,2,0,10,1,2,0,32,0,4,5,18,3,5,2,7,1,0,1,4,0,0,0,4,0,1,0,0.7749985262501496,-26.55042463588904,2.806361085126,30,1069,1.1383232871671884,3.3296640128065405,12.452830188679,132,1060,0,0,0,0,0,0.6890471277130161,-34.00102181319868,3,3,100,1.5740670349263477,39.68238076156178,15,15,100,0,0,0,0,0
